Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
B22A,38,24,-73.92,-109.37,amune (grounded),2/5/2021
B28,9,6,-74.67,-108.77,amune (grounded),2/5/2021
B29,11,5,-74.51,-108.91,amune (grounded),2/5/2021
B37,8,3,-72.67,-111.61,amune,2/5/2021
B38,6,4,-77,-155.03,rosse (grounded),2/5/2021
B39,8,4,-65.93,50.14,amerw,2/5/2021
B40,6,5,-65.64,132.18,wilke (grounded),2/5/2021
B42,12,4,-72.79,-126.59,amunw (grounded),2/5/2021
B45,7,6,-74.69,-109.34,amune (grounded),2/5/2021
B46,10,4,-72.63,-110.55,amune,2/5/2021
B47,12,5,-73.8,-133.84,amunw (grounded),2/5/2021
B50,15,6,-73.84,-140.51,amunw,2/5/2021
C15,12,8,-65.98,143.3,wilke,2/5/2021
C18B,19,4,-64.45,98.1,wilkw,2/5/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),2/5/2021
C24,11,2,-64.84,96.02,wilkw (grounded),2/5/2021
C29,5,5,-66.15,143.19,wilke,2/5/2021
C30,9,3,-64.78,96.3,wilkw (grounded),2/5/2021
C31,9,3,-64.69,96.51,wilkw (grounded),2/5/2021
C33,8,4,-65.31,127.22,wilke,2/5/2021
C35,7,5,-68.1,147.71,wilke,2/5/2021
C36,22,15,-67.93,147.52,wilke,2/5/2021
D15A,51,24,-66.65,81.92,amere (grounded),2/5/2021
D15B,33,12,-66.99,81.57,amere (grounded),2/5/2021
D20A,19,9,-68.65,36.26,amerw (grounded),2/5/2021
D21B,10,4,-60.69,-32.97,belle,2/5/2021
D23,8,6,-69.43,74.66,amere (grounded),2/5/2021
D26,19,2,-69.36,29.4,wedde (grounded),2/5/2021
D27,8,5,-67.72,78.31,amere,2/5/2021
D28,29,19,-65.55,51.61,amerw,2/5/2021
A23A,40,34,-75.7,-39.86,belle,2/12/2021
A63,11,3,-71.69,-54.59,belle,2/12/2021
A64,13,9,-69.33,-60.54,belle,2/12/2021
A68A,30,10,-56.71,-34.29,belle,2/12/2021
A68E,14,4,-53.08,-37.97,belle,2/12/2021
A68G,27,3,-56.23,-36.15,belle,2/12/2021
A68H,11,4,-55.31,-34.46,belle,2/12/2021
A68I,13,2,-53.88,-35.49,belle,2/12/2021
A68J,20,3,-56.3,-33.73,belle,2/12/2021
A68K,10,2,-56.47,-35.99,belle,2/12/2021
A68L,7,2,-57,-33.55,belle,2/12/2021
A68M,20,4,-56.44,-36.21,belle,2/12/2021
A68N,15,2,-56.19,-35.91,belle,2/12/2021
A68O,11,2,-56.09,-35.76,belle,2/12/2021
A68P,15,2,-56.26,-33.67,belle,2/12/2021
A69A,10,9,-67.83,-60.96,belle,2/12/2021
A69B,10,7,-67.45,-61.03,belle,2/12/2021
A70,8,5,-72.51,-59.34,belle,2/12/2021
A71,8,3,-72.61,-59.54,belle,2/12/2021
A72,11,4,-69.54,-60.59,belle,2/12/2021
A73,9,5,-69.59,-59.98,belle,2/12/2021
B09B,24,8,-66.26,143.43,wilke,2/12/2021
B09G,11,7,-67.97,41.69,amerw (grounded),2/12/2021
B09I,12,6,-70.44,-42.21,belle,2/12/2021
B15AB,11,4,-66.03,51.08,amerw (grounded),2/12/2021
B22A,38,24,-73.92,-109.37,amune (grounded),2/12/2021
B28,9,6,-74.67,-108.77,amune (grounded),2/12/2021
B29,11,5,-74.51,-108.91,amune (grounded),2/12/2021
